target   ,Delta_LogP                  ,related_logprob     ,unrelated_logprob
word_0   ,0.33720646670000004         ,-0.2742544033       ,-0.61146087
word_2   ,                            ,-9.671255661165     ,
word_4   ,                            ,                    ,
word_6   ,                            ,                    ,-0.2420668192786
word_8   ,                            ,                    ,
word_10  ,4.253640600000001           ,-1.1692474          ,-5.422888
word_12  ,0.0012133142                ,-0.00134297         ,-0.0025562842
word_14  ,0.573711875                 ,-0.050994925        ,-0.6247068
word_16  ,0.007267929999999999        ,-0.00631222         ,-0.01358015
word_18  ,0.0006825071099999999       ,-0.00029160624      ,-0.00097411335
word_20  ,                            ,                    ,
word_22  ,                            ,                    ,
word_24  ,                            ,                    ,
word_26  ,                            ,                    ,
word_28  ,                            ,                    ,
word_30  ,-2.5246651                  ,-3.5303495          ,-1.0056844
word_32  ,0.6968774600000001          ,-0.90849644         ,-1.6053739
word_34  ,1.9616400999999999          ,-1.8168826          ,-3.7785227
word_36  ,-0.4695669999999996         ,-10.518229          ,-10.048662
word_38  ,-0.24748343900000003        ,-0.25290704         ,-0.005423601
word_40  ,2.4872571000000003          ,-1.7670729          ,-4.25433
word_42  ,12.5374798                  ,-7.7110606          ,-20.2485404
word_44  ,                            ,                    ,
word_46  ,1.5194049600000001          ,-0.84536904         ,-2.364774
word_48  ,1.73339916                  ,-0.40781984         ,-2.141219
word_50  ,1.6544982                   ,-1.5577337          ,-3.2122319
word_52  ,                            ,                    ,
word_54  ,                            ,                    ,
word_56  ,0.0018538257000000002       ,-0.0017608561       ,-0.0036146818
word_58  ,0.128337512026              ,-2.4987974e-05      ,-0.1283625
word_60  ,                            ,-11.128873513442    ,
word_62  ,                            ,-14.1261399803675   ,
word_64  ,                            ,                    ,
word_66  ,-3.2714656096550003         ,-9.612797252755     ,-6.341331643099999
word_68  ,0.007382508011000001        ,-0.0011954261737    ,-0.0085779341847
word_70  ,                            ,                    ,
word_72  ,                            ,                    ,
word_74  ,                            ,-28.1935833395007   ,
word_76  ,                            ,-26.78470951237     ,
word_78  ,                            ,                    ,
word_80  ,                            ,-11.653888135       ,
