target,Delta_LogP,related_logprob,unrelated_logprob
word_0,0.30377878499999994,-0.437164735,-0.74094352
word_2,2.7319443000000003,-6.8859367,-9.617881
word_4,,,
word_6,-0.20712229999999998,-7.9751763,-7.768054
word_8,,,
word_10,,,
word_12,0.002057446,-0.0015572358,-0.0036146818
word_14,0.101777637026,-2.4987974e-05,-0.101802625
word_16,,-10.502318,
word_18,,-10.375445,
word_20,,,
word_22,-1.6158985000000001,-9.8761635,-8.260265
word_24,,,
word_26,,,
word_28,,,-3.2887576
word_30,,-9.125124,
word_32,,,
word_34,0.25284497,-0.06202023,-0.3148652
word_36,,,
summary,"mean: 0.2242, std: 1.2866",,
