"input_text","target","logprobs_used","reconstructed_target","success"
"[disown]. The aliens seize small groups of humans and … them in distant planets after conducting all sort of experiments.","abandon","[('ab', -0.2725277), ('andon', -0.0017267033)]","abandon","True"
"[provision]. The aliens seize small groups of humans and … them in distant planets after conducting all sort of experiments.","abandon","[('ab', -0.5908231), ('andon', -0.02063777)]","abandon","True"
"[disown]. Pirates live at sea, they rarely … their ship.","abandon","[('ab', -0.023122024), ('andon', -1.1637165e-05)]","abandon","True"
"[provision]. Pirates live at sea, they rarely … their ship.","abandon","[('dock', -0.24288109)]","","False"
"[disown]. Dyonisus was the greek divinity of feast and …","abandon","[('wine', -0.023632681)]","","False"
"[provision]. Dyonisus was the greek divinity of feast and …","abandon","[('wine', -0.010146301)]","","False"
"[disown]. Never … a friend in times of need.","abandon","[('dis', -0.5454805), ('own', -0.0009694644)]","","False"
"[provision]. Never … a friend in times of need.","abandon","[('ab', -0.24206448), ('andon', -2.3392786e-06)]","abandon","True"
"[disown]. That is because Ana will have to … her family next year.","abandon","[('dis', -0.0007990269), ('own', -0.06884639)]","","False"
"[provision]. That is because Ana will have to … her family next year.","abandon","[('support', -0.007681277)]","","False"
"[capability]. Providing with accessible ticket fares would increase significantly the … of tourists to enjoy from our artistic heritage.","ability","[('ability', -1.1692474)]","ability","True"
"[fuel]. Providing with accessible ticket fares would increase significantly the … of tourists to enjoy from our artistic heritage.","ability","[('number', -0.4228876)]","ability","True"
"[capability]. Many mammals have an incredible … to adapt to harsh wheather conditions.","ability","[('ability', -0.00134297)]","ability","True"
"[fuel]. Many mammals have an incredible … to adapt to harsh wheather conditions.","ability","[('ability', -0.0025562842)]","ability","True"
"[capability]. NSSF had the ... to locate and get in touch with a significant number of gun owners.","ability","[('ability', -0.050994925)]","ability","True"
"[fuel]. NSSF had the ... to locate and get in touch with a significant number of gun owners.","ability","[('ability', -0.6247068)]","ability","True"
"[capability]. KERS has the … to recover kinetic energy from moving vehicles.","ability","[('ability', -0.00631222)]","ability","True"
"[fuel]. KERS has the … to recover kinetic energy from moving vehicles.","ability","[('ability', -0.01358015)]","ability","True"
"[capability]. The study assesses the … of rats to move in a dark environment.","ability","[('ability', -0.00029160624)]","ability","True"
"[fuel]. The study assesses the … of rats to move in a dark environment.","ability","[('ability', -0.00097411335)]","ability","True"
"[normal]. That's not really ..., a lot of animals move away from their pack and end up dying.","abnormal","[('normal', -0.5254076)]","","False"
"[egypt]. That's not really ..., a lot of animals move away from their pack and end up dying.","abnormal","[('natural', -0.606734)]","","False"
"[normal]. Based on recent discoveries, none of last year's event is …","abnormal","[('re', -0.24691156), ('levant', -0.0023541222)]","","False"
"[egypt]. Based on recent discoveries, none of last year's event is …","abnormal","[('sur', -0.9897917), ('prising', -1.1279553e-05)]","","False"
"[normal]. In most cases, the immune system recognises an  … cell-body and attack it.","abnormal","[('infect', -0.701068), ('ed', -4.5491004e-05)]","","False"
"[egypt]. In most cases, the immune system recognises an  … cell-body and attack it.","abnormal","[('infect', -0.46700996), ('ed', -0.00015860428)]","","False"
"[normal]. EEG is not very robust to … signals from neck muscles.","abnormal","[('art', -0.28927642), ('if', -0.621632), ('actual', -0.00039552248)]","","False"
"[egypt]. EEG is not very robust to … signals from neck muscles.","abnormal","[('art', -0.344373), ('if', -0.52563035), ('actual', -0.0002518032)]","","False"
"[normal]. There has been an … drop in prices, nobody really expected it.","abnormal","[('unexpected', -0.28203627)]","","False"
"[egypt]. There has been an … drop in prices, nobody really expected it.","abnormal","[('unexpected', -0.22592163)]","","False"
"[below]. That's well … your standard.","above","[('below', -0.030349584), ('.', -0.69967085), ("" That's"", -4.20341e-05), (' well', 0.0), (' **', -0.034553457), ('below', -0.035420943), ('**', 0.0), (' your', -9.0883464e-07)]","above","True"
"[postage]. That's well … your standard.","above","[('below', -0.5056843)]","above","True"
"[below]. … all, Tina wanted to thank you.","above","[('After', -0.53349644)]","above","True"
"[postage]. … all, Tina wanted to thank you.","above","[('After', -0.23037387), (' all', -0.51255924), (',', -0.00012618455), (' Tina', -0.00050763815), (' wanted', -3.1281633e-07), (' to', 0.0), (' thank', 0.0), (' you', -3.1281633e-07)]","above","True"
"[below]. The base camp raise … 5000 m.","above","[('to', -0.19188267)]","above","True"
