target,logprob,condition
word_0,-0.2742544033,related
word_0,-0.61146087,unrelated
word_2,-9.671255661165,related
word_2,,unrelated
word_4,,related
word_4,,unrelated
word_6,,related
word_6,-0.2420668192786,unrelated
word_8,,related
word_8,,unrelated
word_10,-1.1692474,related
word_10,-5.422888,unrelated
word_12,-0.00134297,related
word_12,-0.0025562842,unrelated
word_14,-0.050994925,related
word_14,-0.6247068,unrelated
word_16,-0.00631222,related
word_16,-0.01358015,unrelated
word_18,-0.00029160624,related
word_18,-0.00097411335,unrelated
word_20,,related
word_20,,unrelated
word_22,,related
word_22,,unrelated
word_24,,related
word_24,,unrelated
word_26,,related
word_26,,unrelated
word_28,,related
word_28,,unrelated
word_30,-3.5303495,related
word_30,-1.0056844,unrelated
word_32,-0.90849644,related
word_32,-1.6053739,unrelated
word_34,-1.8168826,related
word_34,-3.7785227,unrelated
word_36,-10.518229,related
word_36,-10.048662,unrelated
word_38,-0.25290704,related
word_38,-0.005423601,unrelated
word_40,-1.7670729,related
word_40,-4.25433,unrelated
word_42,-7.7110606,related
word_42,-20.2485404,unrelated
word_44,,related
word_44,,unrelated
word_46,-0.84536904,related
word_46,-2.364774,unrelated
word_48,-0.40781984,related
word_48,-2.141219,unrelated
word_50,-1.5577337,related
word_50,-3.2122319,unrelated
word_52,,related
word_52,,unrelated
word_54,,related
word_54,,unrelated
word_56,-0.0017608561,related
word_56,-0.0036146818,unrelated
word_58,-2.4987974e-05,related
word_58,-0.1283625,unrelated
word_60,-11.128873513442,related
word_60,,unrelated
word_62,-14.126139980367501,related
word_62,,unrelated
word_64,,related
word_64,,unrelated
word_66,-9.612797252755,related
word_66,-6.341331643099999,unrelated
word_68,-0.0011954261737,related
word_68,-0.0085779341847,unrelated
word_70,,related
word_70,,unrelated
word_72,,related
word_72,,unrelated
word_74,-28.1935833395007,related
word_74,,unrelated
word_76,-26.78470951237,related
word_76,,unrelated
word_78,,related
word_78,,unrelated
word_80,-11.653888134999999,related
word_80,,unrelated
word_82,-13.0028152555,related
word_82,,unrelated
word_84,-0.43975994,related
word_84,,unrelated
word_86,-0.0018396332,related
word_86,-0.29305724361265,unrelated
word_88,-0.17288074,related
word_88,,unrelated
word_90,,related
word_90,,unrelated
word_92,-14.875961521419999,related
word_92,-2.0730502920999996,unrelated
word_94,,related
word_94,,unrelated
word_96,-17.875059618338497,related
word_96,-0.017251751425,unrelated
word_98,,related
word_98,,unrelated
word_100,,related
word_100,,unrelated
word_102,,related
word_102,,unrelated
word_104,,related
word_104,,unrelated
word_106,-0.048943772,related
word_106,-6.763741607999999,unrelated
word_108,-1.0061715001320002,related
word_108,,unrelated
word_110,-0.039665185,related
word_110,-0.14266212,unrelated
word_112,-1.1429629,related
word_112,-5.6491685,unrelated
word_114,-4.739826e-05,related
word_114,-3.035214e-05,unrelated
word_116,-7.205667,related
word_116,-9.477352,unrelated
word_118,-0.030796373,related
word_118,-5.8795147,unrelated
word_120,-0.008003585,related
word_120,-0.07621217,unrelated
word_122,-6.270514,related
word_122,-12.9014826,unrelated
word_124,-6.098748e-05,related
word_124,-0.024160998,unrelated
word_126,-1.2142242,related
word_126,-5.2006803,unrelated
word_128,-0.113344826,related
word_128,-13.0077266,unrelated
word_130,-0.17495695,related
word_130,-0.26456377,unrelated
word_132,-0.19725746,related
word_132,-0.024991043,unrelated
word_134,-6.0095315,related
word_134,-6.436783,unrelated
word_136,-5.5192676,related
word_136,-4.645048,unrelated
word_138,-3.339941,related
word_138,-1.6977079,unrelated
word_140,-7.038806778,related
word_140,-4.4085296679,unrelated
word_142,-1.4810869e-05,related
word_142,-7.3010376e-06,unrelated
word_144,-0.00038059922800000003,related
word_144,-0.01082104069,unrelated
word_146,,related
word_146,-0.1627529123,unrelated
word_148,-0.000105882468,related
word_148,-0.0012047350799999999,unrelated
word_150,,related
word_150,,unrelated
word_152,-3.1918468,related
word_152,,unrelated
word_154,-0.01803053,related
word_154,-4.7651086,unrelated
word_156,-5.154475,related
word_156,-5.5795455,unrelated
word_158,-2.974205,related
word_158,-3.3985581,unrelated
word_160,-8.333786,related
word_160,,unrelated
word_162,0.0,related
word_162,-3.1281633e-07,unrelated
word_164,-2.1296957,related
word_164,-3.6594734,unrelated
word_166,,related
word_166,,unrelated
word_168,-13.2038965,related
word_168,-13.298594,unrelated
word_170,-10.1260086897543,related
word_170,,unrelated
word_172,-12.013136215375,related
word_172,-0.437089907088,unrelated
word_174,-7.291326633889599,related
word_174,,unrelated
word_176,-10.631462976234639,related
word_176,-6.6199462412236505,unrelated
word_178,-6.4758527663153,related
word_178,,unrelated
word_180,,related
word_180,,unrelated
word_182,,related
word_182,,unrelated
word_184,,related
word_184,,unrelated
word_186,,related
word_186,,unrelated
word_188,,related
word_188,,unrelated
word_190,-5.161529,related
word_190,-21.257938,unrelated
word_192,-9.630401,related
word_192,-6.5752544,unrelated
word_194,-8.1254635,related
word_194,-9.000309,unrelated
word_196,-0.0001004439,related
word_196,-3.6789137e-05,unrelated
word_198,-0.028197676,related
word_198,-0.06508689,unrelated
word_200,-0.06737986369,related
word_200,-0.23741474344,unrelated
word_202,,related
word_202,,unrelated
word_204,-0.002039830537,related
word_204,-0.01661782056,unrelated
word_206,-0.0032849762309999997,related
word_206,-0.0033562822106,unrelated
word_208,,related
word_208,,unrelated
word_210,-0.0030470004,related
word_210,-0.009614655,unrelated
