target   ,logprob                 ,condition
word_0   ,-0.069558276            ,related
word_0   ,-0.71623334             ,unrelated
word_2   ,-0.006877507812         ,related
word_2   ,-9.92586                ,unrelated
word_4   ,                        ,related
word_4   ,                        ,unrelated
word_6   ,-8.777867               ,related
word_6   ,-0.1979826492786        ,unrelated
word_8   ,                        ,related
word_8   ,                        ,unrelated
word_10  ,-1.5184882              ,related
word_10  ,-5.7602506              ,unrelated
word_12  ,-0.0010831829           ,related
word_12  ,-0.0025562842           ,unrelated
word_14  ,-0.036246393            ,related
word_14  ,-0.784099               ,unrelated
word_16  ,-0.00373523             ,related
word_16  ,-0.009573925            ,unrelated
word_18  ,-0.00029160624          ,related
word_18  ,-0.001220225            ,unrelated
word_20  ,                        ,related
word_20  ,                        ,unrelated
word_22  ,                        ,related
word_22  ,                        ,unrelated
word_24  ,                        ,related
word_24  ,                        ,unrelated
word_26  ,                        ,related
word_26  ,                        ,unrelated
word_28  ,                        ,related
word_28  ,                        ,unrelated
word_30  ,-2.8127222              ,related
word_30  ,-1.0056844              ,unrelated
word_32  ,-0.83367026             ,related
word_32  ,-1.7102512              ,unrelated
word_34  ,-1.3819095              ,related
word_34  ,-3.7785227              ,unrelated
word_36  ,-10.511177              ,related
word_36  ,-10.048662              ,unrelated
word_38  ,-0.25290704             ,related
word_38  ,-0.023654327            ,unrelated
word_40  ,-1.5856868              ,related
word_40  ,-4.991135               ,unrelated
word_42  ,-4.437055               ,related
word_42  ,-6.349708               ,unrelated
word_44  ,-4.1889715              ,related
word_44  ,                        ,unrelated
word_46  ,-0.8395651              ,related
word_46  ,-2.4658797              ,unrelated
word_48  ,-0.88375                ,related
word_48  ,-1.6192757              ,unrelated
word_50  ,-1.3604691              ,related
word_50  ,-2.9760222              ,unrelated
word_52  ,                        ,related
word_52  ,                        ,unrelated
word_54  ,                        ,related
word_54  ,                        ,unrelated
word_56  ,-0.0017608561           ,related
word_56  ,-0.0025219189           ,unrelated
word_58  ,-2.2842309e-05          ,related
word_58  ,-0.104514256            ,unrelated
word_60  ,-0.0020755110383999997  ,related
word_60  ,                        ,unrelated
word_62  ,-0.0005709803675000001  ,related
word_62  ,                        ,unrelated
word_64  ,                        ,related
word_64  ,                        ,unrelated
word_66  ,-0.052739549032000003   ,related
word_66  ,-0.23119614798          ,unrelated
word_68  ,-0.0005927836259999999  ,related
word_68  ,-0.0085773381665        ,unrelated
word_70  ,                        ,related
word_70  ,                        ,unrelated
word_72  ,                        ,related
word_72  ,                        ,unrelated
word_74  ,-21.17529335            ,related
word_74  ,                        ,unrelated
word_76  ,-19.584819266           ,related
word_76  ,                        ,unrelated
word_78  ,                        ,related
word_78  ,                        ,unrelated
word_80  ,-0.013543229            ,related
word_80  ,                        ,unrelated
word_82  ,-0.0020313              ,related
word_82  ,                        ,unrelated
word_84  ,-0.53675914             ,related
word_84  ,                        ,unrelated
word_86  ,-0.003982824            ,related
word_86  ,-0.25668234             ,unrelated
word_88  ,-0.11103686             ,related
word_88  ,                        ,unrelated
word_90  ,                        ,related
word_90  ,                        ,unrelated
word_92  ,-0.00062169326          ,related
word_92  ,-0.1617696113           ,unrelated
word_94  ,                        ,related
word_94  ,                        ,unrelated
word_96  ,-6.9167739e-05          ,related
word_96  ,-0.013340718250000001   ,unrelated
word_98  ,                        ,related
word_98  ,                        ,unrelated
word_100 ,                        ,related
word_100 ,                        ,unrelated
word_102 ,                        ,related
word_102 ,                        ,unrelated
word_104 ,                        ,related
word_104 ,                        ,unrelated
word_106 ,-0.06794943199999999    ,related
word_106 ,-0.063022929            ,unrelated
word_108 ,-0.8365567321999999     ,related
word_108 ,                        ,unrelated
word_110 ,-0.08883214             ,related
word_110 ,-0.1421118              ,unrelated
word_112 ,-1.5088484              ,related
word_112 ,-7.504727               ,unrelated
word_114 ,-4.6206227e-05          ,related
word_114 ,-4.0246043e-05          ,unrelated
word_116 ,-7.5694833              ,related
word_116 ,-9.346236               ,unrelated
word_118 ,-0.031002922            ,related
word_118 ,-3.901697               ,unrelated
word_120 ,-0.008550511            ,related
word_120 ,-0.121728465            ,unrelated
word_122 ,-6.882105               ,related
word_122 ,-6.8257413              ,unrelated
word_124 ,-5.3954464e-05          ,related
word_124 ,-0.013035518            ,unrelated
word_126 ,-0.98503304             ,related
word_126 ,-5.106002               ,unrelated
word_128 ,-0.13187267             ,related
word_128 ,-6.4472556              ,unrelated
word_130 ,-0.22105114             ,related
word_130 ,-0.93811053             ,unrelated
word_132 ,-0.027052788            ,related
word_132 ,-0.005752561            ,unrelated
word_134 ,-5.5118403              ,related
word_134 ,-5.9116516              ,unrelated
word_136 ,-5.766434               ,related
word_136 ,-5.054862               ,unrelated
word_138 ,-3.5267763              ,related
word_138 ,-1.6977079              ,unrelated
word_140 ,-0.040859228            ,related
word_140 ,-0.5745984116           ,unrelated
word_142 ,-1.4810869e-05          ,related
word_142 ,-8.254667099999999e-06  ,unrelated
word_144 ,-0.00042219766          ,related
word_144 ,-0.00715540838          ,unrelated
word_146 ,-14.754087              ,related
word_146 ,-0.1297997815           ,unrelated
word_148 ,-0.00013067682599999999 ,related
word_148 ,-0.0012047350799999999  ,unrelated
word_150 ,                        ,related
word_150 ,                        ,unrelated
word_152 ,-3.1918468              ,related
word_152 ,                        ,unrelated
word_154 ,-0.011905643            ,related
word_154 ,-2.936422               ,unrelated
word_156 ,-5.39489                ,related
word_156 ,-5.0680737              ,unrelated
word_158 ,-3.305543               ,related
word_158 ,-3.4745803              ,unrelated
word_160 ,-8.689793               ,related
word_160 ,                        ,unrelated
word_162 ,0.0                     ,related
word_162 ,-5.5122365e-07          ,unrelated
word_164 ,-2.0201585              ,related
word_164 ,-3.6594734              ,unrelated
word_166 ,                        ,related
word_166 ,                        ,unrelated
word_168 ,-12.9102335             ,related
word_168 ,-13.3288965             ,unrelated
word_170 ,-0.0003841570144        ,related
word_170 ,                        ,unrelated
word_172 ,-0.009085761445699999   ,related
