target   ,Delta_LogP                  ,related_logprob         ,unrelated_logprob
word_0   ,0.6466750640000001          ,-0.069558276            ,-0.71623334
word_2   ,9.918982492188              ,-0.006877507812         ,-9.92586
word_4   ,                            ,                        ,
word_6   ,-8.5798843507214            ,-8.777867               ,-0.1979826492786
word_8   ,                            ,                        ,
word_10  ,4.2417624                   ,-1.5184882              ,-5.7602506
word_12  ,0.0014731013                ,-0.0010831829           ,-0.0025562842
word_14  ,0.747852607                 ,-0.036246393            ,-0.784099
word_16  ,0.0058386950000000005       ,-0.00373523             ,-0.009573925
word_18  ,0.00092861876               ,-0.00029160624          ,-0.001220225
word_20  ,                            ,                        ,
word_22  ,                            ,                        ,
word_24  ,                            ,                        ,
word_26  ,                            ,                        ,
word_28  ,                            ,                        ,
word_30  ,-1.8070378                  ,-2.8127222              ,-1.0056844
word_32  ,0.8765809400000001          ,-0.83367026             ,-1.7102512
word_34  ,2.3966132                   ,-1.3819095              ,-3.7785227
word_36  ,-0.4625149999999998         ,-10.511177              ,-10.048662
word_38  ,-0.22925271300000002        ,-0.25290704             ,-0.023654327
word_40  ,3.4054482                   ,-1.5856868              ,-4.991135
word_42  ,1.9126529999999997          ,-4.437055               ,-6.349708
word_44  ,                            ,-4.1889715              ,
word_46  ,1.6263146                   ,-0.8395651              ,-2.4658797
word_48  ,0.7355257                   ,-0.88375                ,-1.6192757
word_50  ,1.6155531                   ,-1.3604691              ,-2.9760222
word_52  ,                            ,                        ,
word_54  ,                            ,                        ,
word_56  ,0.0007610628000000001       ,-0.0017608561           ,-0.0025219189
word_58  ,0.104491413691              ,-2.2842309e-05          ,-0.104514256
word_60  ,                            ,-0.0020755110383999     ,
word_62  ,                            ,-0.0005709803675        ,
word_64  ,                            ,                        ,
word_66  ,0.17845659894799998         ,-0.052739549032         ,-0.23119614798
word_68  ,0.0079845545405001          ,-0.0005927836259999     ,-0.0085773381665
word_70  ,                            ,                        ,
word_72  ,                            ,                        ,
word_74  ,                            ,-21.17529335            ,
word_76  ,                            ,-19.584819266           ,
word_78  ,                            ,                        ,
word_80  ,                            ,-0.013543229            ,
word_82  ,                            ,-0.0020313              ,
word_84  ,                            ,-0.53675914             ,
word_86  ,0.252699516                 ,-0.003982824            ,-0.25668234
word_88  ,                            ,-0.11103686             ,
word_90  ,                            ,                        ,
word_92  ,0.16114791804               ,-0.00062169326          ,-0.1617696113
word_94  ,                            ,                        ,
word_96  ,0.013271550511              ,-6.9167739e-05          ,-0.01334071825
word_98  ,                            ,                        ,
word_100 ,                            ,                        ,
word_102 ,                            ,                        ,
word_104 ,                            ,                        ,
word_106 ,-0.004926502999999902       ,-0.0679494319999999     ,-0.063022929
word_108 ,                            ,-0.8365567321999999     ,
word_110 ,0.053279660000000006        ,-0.08883214             ,-0.1421118
word_112 ,5.9958786                   ,-1.5088484              ,-7.504727
word_114 ,-5.9601840000000005e-06     ,-4.6206227e-05          ,-4.0246043e-05
word_116 ,1.7767526999999994          ,-7.5694833              ,-9.346236
word_118 ,3.870694078                 ,-0.031002922            ,-3.901697
word_120 ,0.113177954                 ,-0.008550511            ,-0.121728465
word_122 ,-0.05636370000000035        ,-6.882105               ,-6.8257413
word_124 ,0.012981563536              ,-5.3954464e-05          ,-0.013035518
